club_position,counts,mean_value_eur
CF,7,22346428.57142857
LW,179,6416089.385474861
CAM,287,6270348.432055749
RW,182,6102554.945054945
LAM,21,6075000.0
ST,470,5937085.106382979
RAM,21,5803571.428571428
CDM,164,5163628.048780488
LF,35,5027857.142857143
RDM,219,5012168.949771689
LM,397,4970642.317380353
LDM,221,4799411.764705882
RM,402,4724838.308457712
RF,34,4699264.705882353
RCM,450,4611800.0
LS,217,4494654.377880184
LCM,449,4388719.376391982
RS,220,4264522.7272727275
LB,500,4026420.0
RCB,678,3873097.3451327435
RB,508,3678307.0866141734
CM,83,3393493.9759036144
LCB,685,3338562.0437956206
CB,175,2712000.0
RWB,113,2477964.6017699116
LWB,110,2215636.3636363638
50,1,38.0
40,1,36.0
33,1,35.0
37,2,35.0
35,1,33.0
86,1,32.0
43,1,32.0
39,1,32.0
53,3,31.666666666666668
91,1,31.0
90,1,31.0
68,3,30.666666666666668
64,6,30.166666666666668
57,1,30.0
45,2,30.0
76,4,29.5
60,2,29.5
72,11,29.272727272727273
92,1,29.0
63,5,29.0
48,2,29.0
44,2,29.0
52,1,29.0
75,6,29.0
78,7,28.714285714285715
59,3,28.666666666666668
49,3,28.666666666666668
84,4,28.5
69,4,28.5
67,8,28.375
77,5,28.2
81,5,28.2
65,3,28.0
80,6,28.0
70,7,27.857142857142858
61,6,27.833333333333332
88,2,27.5
54,2,27.5
82,5,27.4
74,4,27.25
73,12,27.166666666666668
71,10,26.9
85,2,26.5
56,3,26.333333333333332
62,4,26.25
83,4,26.0
79,3,25.666666666666668
66,5,25.2
58,1,22.0
